lng,lat
115.8465905,-31.96681633
115.8460888,-31.9666075
115.839342,-31.9665665
115.8464823,-31.96625667
115.8461833,-31.96623417
115.8395652,-31.96611167
115.846759,-31.96588517
115.8397102,-31.96578317
115.8398117,-31.965683
115.8841128,-31.96558417
115.8462837,-31.96551867
115.8398657,-31.9654695
115.8838175,-31.9654195
115.8398845,-31.965377
115.8399463,-31.96537317
115.8399435,-31.96537217
115.8399263,-31.96537067
115.8399058,-31.96536667
115.8399512,-31.9653665
115.8399683,-31.96536533
115.8399547,-31.96536433
115.8398795,-31.96536383
115.8399463,-31.96536383
115.8399657,-31.9653635
115.8399433,-31.9653605
115.8399453,-31.96535983
115.839986,-31.96535767
115.8398652,-31.965357
115.8399443,-31.9653525
115.839862,-31.96535033
115.839922,-31.96534767
115.839905,-31.96534583
115.8398727,-31.965343
115.8398983,-31.965327
115.839892,-31.96532483
115.8398918,-31.9653245
115.8399072,-31.96532333
115.839905,-31.96532317
115.8398953,-31.9653215
115.8399093,-31.96531983
115.8399038,-31.9653195
115.839924,-31.9653175
115.839904,-31.9653145
115.8398747,-31.9653135
115.8399342,-31.9653135
115.8399327,-31.96531183
115.8463443,-31.96530367
115.8398473,-31.96530317
115.8398323,-31.96528783
115.839855,-31.96527333
115.8399183,-31.9652685
115.8399528,-31.96526133
115.8399795,-31.9652555
115.8400038,-31.96525117
115.8398282,-31.96524933
115.8398202,-31.96524567
115.8399857,-31.96524433
115.8398585,-31.965244
115.839932,-31.96523917
115.8398905,-31.9652385
115.8399777,-31.9652385
115.8398248,-31.96523733
115.839954,-31.965237
115.8400235,-31.96523483
115.8398763,-31.96523367
115.8398345,-31.96523133
115.8466757,-31.96523017
115.8398625,-31.9652295
115.8398298,-31.96522933
115.840073,-31.96522883
115.8398322,-31.965227
115.839862,-31.965225
115.8398338,-31.96522483
115.8400863,-31.96522267
115.8399305,-31.9652225
115.8398277,-31.96522083
115.8398503,-31.9652205
115.8398552,-31.9652205
115.839809,-31.96521983
115.8398758,-31.96521967
115.8398402,-31.96521933
115.8398503,-31.96521933
115.8398168,-31.96521867
115.839904,-31.96521867
115.8398402,-31.96521217
115.8401105,-31.96521217
115.839837,-31.96520817
115.8399168,-31.965207
115.8398477,-31.965205
115.8398375,-31.96520383
115.839845,-31.96520367
115.8399278,-31.965202
115.8398373,-31.965201
115.8401635,-31.96520017
115.8398528,-31.96519933
115.8398727,-31.96519683
115.8398993,-31.96519633
115.8402247,-31.96519033
115.8399015,-31.96518167
115.839902,-31.9651645
115.839864,-31.96515617
115.8834008,-31.96515567
115.8836718,-31.96514917
115.8398888,-31.96514717
115.8398587,-31.96512283
115.8398362,-31.96512217
115.839825,-31.96512183
115.8398352,-31.9651205
115.8398295,-31.96511817
115.8398167,-31.9651035
115.8469212,-31.96497533
115.8403862,-31.96497
115.8829762,-31.96489133
115.8829347,-31.96474683
115.8827255,-31.9647275
115.8406838,-31.96471033
115.8410125,-31.96449233
115.8464883,-31.9644845
115.8822767,-31.964468
115.8465197,-31.96437333
115.8822477,-31.96434367
115.8820363,-31.9643145
115.8468572,-31.96422417
115.8413138,-31.964224
115.8470757,-31.96408417
115.8815825,-31.9640545
115.8749832,-31.96405417
115.8758312,-31.96404
115.881565,-31.96393367
115.8741878,-31.9639215
115.8813397,-31.96389617
115.876647,-31.96386983
115.8417675,-31.963826
115.8734117,-31.96366933
115.8808957,-31.96363933
115.8773752,-31.96357917
115.8729612,-31.963519
115.880886,-31.96351133
115.846686,-31.96348533
115.88066,-31.9634785
115.846691,-31.96344833
115.8725382,-31.963361
115.8422948,-31.9633195
115.8801463,-31.96329317
115.8799072,-31.96323817
115.8778908,-31.96323683
115.8472208,-31.9632275
115.8793178,-31.96316817
115.8718242,-31.96312983
115.8791527,-31.96309267
115.8802323,-31.96303883
115.8470742,-31.96300483
115.8430978,-31.962947
115.8781202,-31.96294683
115.8710803,-31.962901
115.8786798,-31.9628145
115.8786555,-31.962814
115.8782242,-31.9627515
115.8439662,-31.9627045
115.87826,-31.96269667
115.8782755,-31.9626955
115.8782645,-31.9626945
115.8782722,-31.96269433
115.8782797,-31.96269433
