lng,lat
-29.69753648,119.5528541
-29.6973189,119.5631804
-29.70658439,119.5533001
-29.70670823,119.5426501
-29.70689565,119.5324046
-29.71600177,119.5326436
-29.71620551,119.5224492
-29.72524192,119.5225616
-29.72500008,119.5328593
-29.71584193,119.5428597
-29.71559452,119.5528979
-29.724284,119.5536863
-29.72468391,119.5432274
-29.73423773,119.5229108
-29.74290064,119.5331233
-29.73388685,119.5431186
-29.73394942,119.5328052
-29.60391606,119.7258397
-30.15705956,120.0764761
-30.15707875,120.0773369
-30.15710186,120.078374
-30.15712496,120.0794111
-30.15714806,120.0804482
-30.15717115,120.0814854
-30.16815674,120.0888317
-30.16813624,120.0879086
-30.1681132,120.0868713
-30.16809015,120.0858341
-30.16806709,120.0847968
-30.16804402,120.0837596
-30.16802094,120.0827224
-30.17171827,120.0867652
-30.17174132,120.0878025
-30.17176436,120.0888398
-30.17178739,120.089877
-30.17181041,120.0909143
-30.17913559,120.0958891
-30.17911261,120.0948518
-30.14621738,120.075582
-30.16870969,120.1138399
-30.16873253,120.1148772
-30.16875534,120.1159145
-30.16877816,120.1169518
-30.16880097,120.117989
-30.16882377,120.1190263
-30.16884655,120.1200636
-30.16886934,120.1211009
-30.16889211,120.1221381
-30.16891488,120.1231754
-30.16512425,120.118532
-30.16518439,120.1175754
-30.16516159,120.1165381
-30.16513877,120.1155009
-30.16511595,120.1144637
-29.61288206,119.7262668
-29.62133176,119.7263602
-29.62954424,119.7160405
-29.62223579,119.7161541
-29.61309103,119.7160842
-29.60423643,119.7159396
-29.58624001,119.7049826
-29.58621991,119.6944455
-29.59531381,119.7049978
-29.60851802,119.7107901
-29.60851802,119.7107901
-29.61335104,119.7055725
-29.62234867,119.705782
-29.62256767,119.6954746
-29.61357834,119.6952972
-29.60453597,119.6950668
-29.59549588,119.6947231
-29.60424268,119.7054839
-29.59510157,119.715385
-29.5861046,119.715144
-29.58595665,119.7254391
-29.59497369,119.7255784
-29.88701117,120.0179914
-29.88720843,120.0283247
-29.87823143,120.0285705
-29.87849506,120.0390873
-29.88741366,120.0386476
-29.88772831,120.0490604
-29.89672165,120.0487331
-29.89646191,120.0383591
-29.8962827,120.0279932
-29.68841305,119.552582
-29.68841305,119.552582
-29.68832136,119.5629313
-29.75337747,119.4612599
-29.75359646,119.4509273
-29.75379775,119.4405321
-29.75397848,119.4302294
-29.7541678,119.4199061
-29.7632027,119.4201233
-29.76297724,119.4304466
-29.7628233,119.4407613
-29.76262328,119.4510851
-29.76238543,119.4614595
-29.79849709,119.4623228
-29.79868937,119.4519849
-29.78947155,119.4621017
-29.75306468,119.4818557
-29.76185044,119.4924214
-29.76165502,119.5027656
-29.7614584,119.5131303
-29.76125393,119.5233914
-29.71619082,119.5222731
-29.75243374,119.512874
-29.75260226,119.5025612
-29.75282466,119.4922186
-29.75282466,119.4922186
-29.76204447,119.4821081
-29.77144804,119.4616295
-29.77165718,119.4513465
-29.7807022,119.4514945
-29.78966357,119.4517751
-29.78046421,119.4618709
-29.5866699,119.6842614
-29.59568617,119.6844486
-29.60479195,119.6846693
-29.613743,119.6849582
-29.62284079,119.6851273
-29.62298585,119.6748281
-29.6139794,119.6746005
-29.60509138,119.6743141
-29.59591277,119.6741234
-29.58692451,119.6738862
-29.57790982,119.6736175
-29.56889407,119.6734004
-29.56868573,119.6837234
-29.5684682,119.6940151
-29.57748296,119.6942752
-29.57769197,119.6839617
-29.57730942,119.7045792
-29.56827629,119.7043383
-29.78021755,119.4721848
-29.78931459,119.4724395
-29.79833067,119.472682
-29.78006869,119.4825322
-29.77990215,119.4928169
-29.77975893,119.5032573
-29.77069777,119.5030215
-29.77082308,119.4925713
-29.77106934,119.4823618
-29.77126554,119.4718925
-29.74363064,119.5023589
-29.74346376,119.5125881
-29.74323982,119.5229296
-29.73441908,119.5124349
-29.73457001,119.5020925
-29.63309612,119.6234402
-29.63284556,119.6337999
