lng,lat
-32.12264783,115.8637023
-32.122663,115.8637133
-32.122693,115.863717
-32.12271083,115.863718
-32.1227175,115.8637208
-32.122721,115.863723
-32.12272333,115.8637263
-32.12272633,115.8637328
-32.122729,115.863735
-32.12272833,115.863735
-32.12272783,115.8637335
-32.12272683,115.863729
-32.1227245,115.8637272
-32.12272317,115.8637258
-32.1227225,115.8637272
-32.12272067,115.8637247
-32.1227105,115.8637262
-32.12270217,115.8637298
-32.12269017,115.8637328
-32.12267767,115.8637332
-32.12266783,115.8637328
-32.12265983,115.863737
-32.12264967,115.8637407
-32.1226435,115.8637407
-32.122641,115.8637408
-32.12263967,115.8637363
-32.122642,115.8637308
-32.1226395,115.8637258
-32.1226375,115.8637263
-32.12263983,115.863732
-32.122642,115.8637397
-32.12264233,115.863745
-32.1226405,115.8637467
-32.12263817,115.8637462
-32.1226385,115.863744
-32.1226385,115.8637428
-32.1226355,115.8637388
-32.12263533,115.8637348
-32.12263233,115.8637322
-32.12262833,115.8637303
-32.12262267,115.8637287
-32.12261683,115.8637272
-32.12260967,115.8637248
-32.12260533,115.8637225
-32.122606,115.8637263
-32.1226085,115.863731
-32.122614,115.8637378
-32.12261767,115.8637443
-32.12262167,115.8637493
-32.122629,115.8637493
-32.12263183,115.8637493
-32.12263383,115.8637487
-32.12263283,115.8637503
-32.122635,115.8637527
-32.12263783,115.8637568
-32.12264183,115.863759
-32.12265033,115.863762
-32.12265917,115.863765
-32.12266633,115.8637685
-32.12266933,115.8637717
-32.12267067,115.8637727
-32.1226705,115.863773
-32.12266883,115.8637742
-32.12266717,115.8637693
-32.1226675,115.8637625
-32.12266917,115.8637548
-32.1226735,115.8637512
-32.12267833,115.8637515
-32.12268683,115.863755
-32.122698,115.8637597
-32.122707,115.8637628
-32.12271317,115.8637445
-32.12273483,115.8636477
-32.12278717,115.8634233
-32.122898,115.8632385
-32.12305017,115.8631625
-32.12314133,115.8631558
-32.123139,115.8631512
-32.12314033,115.8631305
-32.12315767,115.8630728
-32.12323933,115.8630185
-32.12342133,115.863237
-32.12359083,115.8636817
-32.12382783,115.8643125
-32.12417417,115.8650215
-32.124566,115.8654538
-32.12481167,115.8655212
-32.12485333,115.8654327
